grid_id,date,no2_level
"7713,2843",2022-04-01,1.180909989540936E-4
"7718,2843",2022-04-01,1.160777992650945E-4
"7723,2843",2022-04-01,1.219666230107541E-4
"7708,2848",2022-04-01,1.1733865523315652E-4
"7713,2848",2022-04-01,1.2784099774324016E-4
"7718,2848",2022-04-01,1.3494459556613538E-4
"7723,2848",2022-04-01,1.4467786653599572E-4
"7728,2848",2022-04-01,1.5423486587140645E-4
"7733,2848",2022-04-01,1.5587450965973295E-4
"7688,2853",2022-04-01,6.713359947213627E-5
"7693,2853",2022-04-01,7.571672839925562E-5
"7698,2853",2022-04-01,8.518380504010164E-5
"7703,2853",2022-04-01,1.0989727914137876E-4
"7708,2853",2022-04-01,1.26778033495847E-4
"7713,2853",2022-04-01,1.3269634154639036E-4
"7718,2853",2022-04-01,1.5696201679610326E-4
"7723,2853",2022-04-01,1.5965382727289347E-4
"7728,2853",2022-04-01,1.7198709488443778E-4
"7733,2853",2022-04-01,1.684961826512192E-4
"7683,2858",2022-04-01,6.883241810552163E-5
"7688,2858",2022-04-01,6.836435549731882E-5
"7693,2858",2022-04-01,7.452883009256114E-5
"7698,2858",2022-04-01,8.054301988556016E-5
"7703,2858",2022-04-01,8.98522273607947E-5
"7708,2858",2022-04-01,1.0985592079027669E-4
"7713,2858",2022-04-01,1.2543689168219307E-4
"7718,2858",2022-04-01,1.4699023636189916E-4
"7723,2858",2022-04-01,1.5308739606534702E-4
"7728,2858",2022-04-01,1.6188300474134998E-4
"7733,2858",2022-04-01,1.5164741785157626E-4
"7688,2863",2022-04-01,6.456429832393232E-5
"7693,2863",2022-04-01,6.492096556873403E-5
"7698,2863",2022-04-01,6.601659492943704E-5
"7703,2863",2022-04-01,7.932440718548498E-5
"7708,2863",2022-04-01,9.174706720619154E-5
"7713,2863",2022-04-01,1.0432087299998557E-4
"7718,2863",2022-04-01,1.1600384902665627E-4
"7723,2863",2022-04-01,1.2385765117917515E-4
"7728,2863",2022-04-01,1.3328744099558998E-4
"7733,2863",2022-04-01,1.2026226957961163E-4
"7693,2868",2022-04-01,7.256196705311452E-5
"7698,2868",2022-04-01,6.788849133078493E-5
"7703,2868",2022-04-01,7.363314589601159E-5
"7708,2868",2022-04-01,8.083669685921608E-5
"7713,2868",2022-04-01,8.505129495758059E-5
"7718,2868",2022-04-01,9.011607899746625E-5
"7723,2868",2022-04-01,9.434828875890738E-5
"7728,2868",2022-04-01,8.076569990525305E-5
"7733,2868",2022-04-01,8.589314708077739E-5
"7693,2873",2022-04-01,6.953751282029995E-5
"7698,2873",2022-04-01,7.274524763001158E-5
"7703,2873",2022-04-01,6.308411035368898E-5
"7708,2873",2022-04-01,7.286042240388126E-5
"7713,2873",2022-04-01,8.183977457296961E-5
"7718,2873",2022-04-01,7.462650508311358E-5
"7723,2873",2022-04-01,7.971545856022653E-5
"7728,2873",2022-04-01,6.521969559322949E-5
"7733,2873",2022-04-01,6.215872218611307E-5
